Ticker,Stock,% of Portfolio,Shares,Reported Price
CMG,CHIPOTLE MEXICAN GRILL INC,18.15%,"824,998","$2,286.96"
QSR,RESTAURANT BRANDS INTERN,17.55%,"23,348,135",$78.13
HLT,HILTON WORLDWIDE HOLDINGS IN,16.08%,"9,181,180",$182.09
HHH,HOWARD HUGHES HOLDINGS INC,15.51%,"18,852,064",$85.55
GOOG,ALPHABET INC-CL C,12.71%,"9,377,195",$140.93
CP,CANADIAN PACIFIC KANSAS CITY,11.48%,"15,095,528",$79.06
GOOGL,ALPHABET INC-CL A,5.85%,"4,354,824",$139.69
LOW,LOWE'S COS INC,2.67%,"1,245,515",$222.55
